Delivery,Bid,Ask,Last,Time,+/-,On Vol,Off Vol,Tot Vol,Open,High,Low,Settl.,O.I,Product,ProductCode,Date
2027,-2.07,-1.27,-,-,0.00,-,-,-,-,-,-,-1.75,836,HLBY,HLBY-27,2026-08-20
2028,1.52,3.02,-,-,0.00,-,-,-,-,-,-,2.25,358,HLBY,HLBY-28,2026-08-20
2029,1.26,2.76,-,-,0.00,-,-,-,-,-,-,2.01,90,HLBY,HLBY-29,2026-08-20
2030,-0.24,2.76,-,-,0.00,-,-,-,-,-,-,1.25,50,HLBY,HLBY-30,2026-08-20
Q4 2026,-3.14,-1.14,-,-,0.00,-,-,-,-,-,-,-2.35,"1,047",HLBQ,HLBQ4-26,2026-08-20
Q1 2027,-0.60,1.90,-,-,0.00,-,-,-,-,-,-,0.40,252,HLBQ,HLBQ1-27,2026-08-20
Q2 2027,-4.23,-1.73,-,-,0.00,-,-,-,-,-,-,-2.98,17,HLBQ,HLBQ2-27,2026-08-20
Q3 2027,-3.27,-0.27,-,-,0.00,-,-,-,-,-,-,-1.75,12,HLBQ,HLBQ3-27,2026-08-20
Aug 2026,-,-,-,-,0.00,-,-,-,-,-,-,-28.90,979,HLBM,HLBMAUG-26,2026-08-20
Sep 2026,0.99,3.49,-,-,0.00,-,-,-,-,-,-,2.00,997,HLBM,HLBMSEP-26,2026-08-20
Oct 2026,7.90,10.50,-,-,0.00,-,-,-,-,-,-,8.95,42,HLBM,HLBMOCT-26,2026-08-20
Nov 2026,-8.25,-5.55,-,-,0.00,-,-,-,-,-,-,-7.11,35,HLBM,HLBMNOV-26,2026-08-20
2027,55.00,56.50,-,-,0.00,-,-,-,-,-,-,56.30,"4,591",NSBY,NSBY-27,2026-08-20
2028,45.20,46.75,-,-,0.00,-,-,-,-,-,-,46.25,"1,956",NSBY,NSBY-28,2026-08-20
2029,43.95,45.95,-,-,0.00,-,-,-,-,-,-,45.00,789,NSBY,NSBY-29,2026-08-20
2030,45.01,48.01,-,-,0.00,-,-,-,-,-,-,46.65,354,NSBY,NSBY-30,2026-08-20
2031,45.24,48.24,-,-,0.00,-,-,-,-,-,-,46.88,181,NSBY,NSBY-31,2026-08-20
2032,-,-,-,-,0.00,-,-,-,-,-,-,48.38,53,NSBY,NSBY-32,2026-08-20
2033,-,-,-,-,0.00,-,-,-,-,-,-,48.88,1,NSBY,NSBY-33,2026-08-20
2034,-,-,-,-,0.00,-,-,-,-,-,-,49.38,1,NSBY,NSBY-34,2026-08-20
2035,-,-,-,-,0.00,-,-,-,-,-,-,49.88,0,NSBY,NSBY-35,2026-08-20
2036,-,-,-,-,0.00,-,-,-,-,-,-,50.13,0,NSBY,NSBY-36,2026-08-20
Q4 2026,89.17,91.00,-,-,0.00,-,-,-,-,-,-,91.15,"5,623",NSBQ,NSBQ4-26,2026-08-20
Q1 2027,93.22,95.25,-,-,0.00,-,-,-,-,-,-,95.10,"1,568",NSBQ,NSBQ1-27,2026-08-20
Q2 2027,43.59,46.59,-,-,0.00,-,-,-,-,-,-,45.08,501,NSBQ,NSBQ2-27,2026-08-20
Q3 2027,30.07,33.07,-,-,0.00,-,-,-,-,-,-,31.50,529,NSBQ,NSBQ3-27,2026-08-20
Q4 2027,53.25,56.25,-,-,0.00,-,-,-,-,-,-,54.90,535,NSBQ,NSBQ4-27,2026-08-20
Q1 2028,71.80,74.80,-,-,0.00,-,-,-,-,-,-,73.50,258,NSBQ,NSBQ1-28,2026-08-20
Q2 2028,35.20,38.20,-,-,0.00,-,-,-,-,-,-,36.80,68,NSBQ,NSBQ2-28,2026-08-20
Q3 2028,23.93,26.93,-,-,0.00,-,-,-,-,-,-,25.50,81,NSBQ,NSBQ3-28,2026-08-20
Q4 2028,48.47,51.47,-,-,0.00,-,-,-,-,-,-,50.10,95,NSBQ,NSBQ4-28,2026-08-20
Aug 2026,-,-,-,-,0.00,-,-,-,-,-,-,76.50,"5,447",NSBM,NSBMAUG-26,2026-08-20
Sep 2026,74.00,75.50,-,-,0.00,-,-,-,-,-,-,75.70,"6,278",NSBM,NSBMSEP-26,2026-08-20
Oct 2026,82.32,84.50,-,-,0.00,-,-,-,-,-,-,84.50,449,NSBM,NSBMOCT-26,2026-08-20
Nov 2026,92.01,95.57,-,-,0.00,-,-,-,-,-,-,94.25,195,NSBM,NSBMNOV-26,2026-08-20
Dec 2026,92.61,96.61,-,-,0.00,-,-,-,-,-,-,95.63,170,NSBM,NSBMDEC-26,2026-08-20
Jan 2027,101.11,105.11,-,-,0.00,-,-,-,-,-,-,103.92,24,NSBM,NSBMJAN-27,2026-08-20
Feb 2027,101.02,105.02,-,-,0.00,-,-,-,-,-,-,103.83,8,NSBM,NSBMFEB-27,2026-08-20
